name,year,group,short,trained,n.e,mean.e,sd.e,n.c,mean.c,sd.c
Stöggl,2014,c,TRUE,TRUE,12,6.8,10.1,8,-2.4,7
Hebisz,2021a,,TRUE,TRUE,10,8.1,8.4,10,3.6,5.6
Stöggl,2014,b,TRUE,TRUE,12,6.8,10.1,11,1.6,11.9
Stöggl,2014,a,TRUE,TRUE,12,6.8,10.1,10,2.9,7.9
Selles-Perez,2019,R,FALSE,FALSE,6,2.2,3.4,7,0.5,4.4
Hebisz,2021b,,TRUE,TRUE,14,4,7.7,12,1.6,7.2
Carnes,2018,,FALSE,FALSE,9,4.3,8.4,12,1.8,9.3
Festa,2020,,TRUE,FALSE,19,0.6,7.1,19,-0.5,2.5
Schumann,2017,,FALSE,FALSE,14,3.7,7.3,10,3.3,5.3
Selles-Perez,2019,C,FALSE,FALSE,6,3.2,3.6,7,2.9,6.4
Filipas,2022,,FALSE,FALSE,15,1,4.3,15,1,4.9
Treff,2017,,TRUE,TRUE,7,0,7.9,7,0,2.9
Pérez,2019,,FALSE,FALSE,11,-0.9,6.2,9,1.7,6.1
