study,group,n,tid,mean_pre,sd_pre,mean_post,sd_post,mean_d,sd_d,mean_dper,sd_dper
Festa et al. [47],1,19,Polarized,53,5.9,53.6,4.8,0.6,2.9,1.5,5.7
Festa et al. [47],2,4,Pyramidal,56.7,6.5,56.6,6.7,0,1.2,-0.1,2
Festa et al. [47],3,12,Threshold,52.7,7.7,52.1,7.9,-0.6,3.2,-1.1,7.2
Filipas et al. [48],1,15,Polarized,68.5,3.3,69.9,3.6,1.4,2,2.1,3
Filipas et al. [48],2,15,Pyramidal,68.1,4.3,68.9,3.5,0.8,1.5,1.3,2.2
Filipas et al. [49],1,15,Polarized,68.1,2.9,68.1,3.9,0.1,1.4,0.1,2.1
Filipas et al. [49],2,15,Pyramidal,68.2,2.8,68.8,2.6,0.6,1.3,0.9,1.9
Pérez et al. [50],1,11,Polarized,56.7,5.5,56.1,6.3,-0.6,3,-1.1,5.3
Pérez et al. [50],2,9,Pyramidal,56.8,5,58.4,4.7,1.7,2.9,3.1,5.2
Sellés-Pérez et al. [51],1,7,Polarized,54.7,4.3,55.1,5.5,0.4,6,1.2,11.4
Sellés-Pérez et al. [51],2,8,Pyramidal,56.5,4.8,57.6,4.9,1.1,2.9,2.1,5.6
Stöggl et al. [52],1,9,Polarized,61.7,8.1,67,8.5,5.3,1.8,8.8,3.1
Stöggl et al. [52],2,10,Pyramidal,60.9,8.4,61.9,9.1,0.9,3.2,1.6,5.1
Stöggl et al. [52],3,8,Threshold,63.3,5.2,60.5,7.9,-2.8,4.4,-4.7,7.5
Stöggl et al. [52],4,9,High,63.7,7.1,66.6,5.8,2.8,3.5,4.8,5.9
Talsnes et al. [53],1a,9,Polarized,57.1,3.9,59.1,4,2.1,2.7,3.7,4.9
Talsnes et al. [53],2a,1,Pyramidal,60.1,0,58.6,0,-1.5,0,-2.5,0
Talsnes et al. [53],1b,19,Polarized,70.7,4.9,70.3,3.6,-0.4,3.7,-0.4,5.5
Talsnes et al. [53],2b,4,Pyramidal,68.7,4.5,65.8,5.6,-2.9,1.6,-4.3,2.5
Treff et al. [25],1,5,Polarized,67.7,7.9,67.4,7.1,-0.3,1.4,-0.3,1.8
Treff et al. [25],2,5,Pyramidal,63.5,3,65.1,0.8,1.6,3.5,2.7,5.6
Zinner et al. [45],1,9,Polarized,45.7,5.8,46,5.2,0.3,2.8,1,6.1
Zinner et al. [45],2,16,Pyramidal,44.5,7,46.3,7.5,1.8,2.5,4.1,5.7
Zinner et al. [45],3,4,Threshold,43.2,2.3,45.7,2.9,2.5,1.3,5.7,2.8
Zinner et al. [45],4,7,High,47.5,3.2,48.7,5,1.2,4.6,2.7,9.4
Zinner et al. [45],5,7,Low,50.7,7.7,51.2,9.9,0.5,3.1,0.6,5
